District,BarId,UserId,Review,MadePhoto,Reaction
Dumskaya,52b89801498eb5da45f72173,67713472,"Ну нарм , тут кофе продают",False,
Dumskaya,52b89801498eb5da45f72173,59374241,Какой-то недоСтарбакс,False,disliked
Dumskaya,52b89801498eb5da45f72173,30074326,best hot chocolate everrr👍🏿☕️,False,
Dumskaya,52b89801498eb5da45f72173,74006276,"А по-моему слишком мрачно тут. Мне было неуютно, хотелось скорее уйти",False,disliked
Dumskaya,52b89801498eb5da45f72173,39928699,Кофе ужасный! Приторный и вкус одного сиропа. Больше не ногой сюда,True,
Dumskaya,52b89801498eb5da45f72173,38177388,"Очередь 2,5 человека, а ждёшь заказ вечность",False,
Dumskaya,52b89801498eb5da45f72173,5220061,"В среду был какой-то ад - тугой кассир, очередь, грязь.",False,meh
Dumskaya,52b89801498eb5da45f72173,39616365,Туалет грязный. Зал грязный. Обслуживание медленное. Цена/качество - оставляет желать лучшего. Не рекомендую!,False,liked
Dumskaya,52b89801498eb5da45f72173,41409874,Слишком громкая музыка...,False,
Dumskaya,52b89801498eb5da45f72173,25453048,Ужасное обслуживание!!!!! Хамское поведение кассира!!!!,False,
Dumskaya,52b89801498eb5da45f72173,19968196,Отвратительный кофе,False,
Dumskaya,4c62e1907c9def3bb65ad71c,188190549,"Очень уютную местечко , самый вкусный кальян у вас 😍нам с подругой очень понравилось , обслуживания хорошое ) спасибочки за такой вечерок 🙈",True,liked
Dumskaya,4c62e1907c9def3bb65ad71c,93258282,"Большой выбор кофе, десертов. Уютное место в центре города, есть кальян. Минус в том, что приходишь, садишься и долго ждешь пока к тебе подойдет официант. А так в целом мне нравится:)",True,liked
Dumskaya,4c62e1907c9def3bb65ad71c,198862721,"Очень люблю эту кофейню, каждый раз приезжаю и сюда заглядываю) Вкусные роллы, жульен и отпадный кальян)",True,liked
Dumskaya,4c62e1907c9def3bb65ad71c,45678712,"Отличный кальян, это самое главное! Огромный выбор табака) Попробуйте миндальный чай, а из алкоголя коктейли с текилой отличные. А вот еду лучше есть, она на слабую троечку",True,liked
Dumskaya,4c62e1907c9def3bb65ad71c,25554868,"Очень понравилось!кальян персик-манго,чай с чабрецом,б/а мохито приготовлен идеально,а доброжелательному веселому официанту Максу отдельное спасибо за первоклассное обслуживание!Будем навещать!)",False,
Dumskaya,4c62e1907c9def3bb65ad71c,163374943,"Отличное место. Всегда есть свободные столики. Хочется, чтобы официанты были немножко приветливее и доброжелательнее.",True,liked
Dumskaya,4c62e1907c9def3bb65ad71c,5763867,"Любимое место! Хорошая музыка, приятный персонал, отличный кальян! Это была любовь с первого раза) Кальян надо ждать, можно под Голубой Баю или Пушистую утку..",False,liked
Dumskaya,4c62e1907c9def3bb65ad71c,41088732,"Кольян отличный!  Лучшие из персонала это Андрей, Денис и Ваня! И кольянщик Боря, жаль Рома уехал ... Внимательное и вежливое обслуживание! Очень люблю это местечко.",False,
Dumskaya,4c62e1907c9def3bb65ad71c,63408170,"Превосходный тортик ""мусс 3 шоколада"", лучшее обслуживание в городе и невозможно не сказать про кальян!! Кальян делают качественно, не к чему придраться!!!",False,liked
Dumskaya,4c62e1907c9def3bb65ad71c,59993001,"Внутри есть розетки под столами, можно заряжать дивайсы. Обслуживание отличное. Места снаружи хороши тем, что вид приятный. Люди идут, суета, в ты балдеешь - оттягивает ) Классное место. Но ЕДЫ МАЛО!!",False,
